epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.2897214610860145,0.004682734911826293,0.42260487394077206,0.01698984302862419,167.61569929999678,155.00843639999948,322.62413569999626,True
2,0.2786434660908089,0.005350228380594385,0.46252496063114046,0.0,167.88432209999883,156.24256529999548,324.1268873999943,True
3,0.2732968292474736,0.00590968315636185,0.4590129753313087,0.018094585332419467,167.99293729999772,152.97275120000268,320.9656885000004,True
4,0.2494020668253041,0.011001575049112056,0.5552237148747976,0.03482003129890454,166.13440509999782,154.02814220000437,320.1625473000022,True
5,0.2535984731892966,0.006482708082358347,0.46034767718189396,0.026798532461317595,167.49606630000198,154.4359998,321.932066100002,False
6,0.24502439181374122,0.013379396874123194,0.5072639619447554,0.01234956839518619,166.7811021000016,153.87680199999886,320.65790410000045,True
7,0.23406767875358347,0.028562778898233037,0.5612211040621164,0.08139534883720931,167.3129362000036,155.43908080000256,322.75201700000616,True
8,0.22079920982008816,0.0301306946156187,0.541411435846633,0.04976462676529926,168.31981169999926,153.3619239000036,321.68173560000287,True
9,0.21284077673515606,0.033350531984220534,0.4964004919661346,0.07680722891566265,167.6656243000034,159.57590979999804,327.24153410000145,True
10,0.20301647995920047,0.05031119753025721,0.6313183309586596,0.020276320839196622,166.74160820000543,154.89409799999703,321.63570620000246,True
11,0.2033649512859685,0.02872836011303866,0.48279829197320817,0.011722642283570717,167.02082410000003,158.68604219999543,325.70686629999545,False
12,0.19491528226341,0.020857749077103135,0.4899544776612873,0.023006870107045854,168.61111050000181,154.34346509999887,322.9545756000007,False
13,0.18524849550108413,0.014713097424917377,0.5237605669298326,0.018748507284451876,168.8686813999957,156.6678605000052,325.5365419000009,False
14,0.18157406969767242,0.010406556049130662,0.435737229580168,0.012799011386706681,167.3213029000035,158.2638064999992,325.5851094000027,False
15,0.18105344150747968,0.011034979728452833,0.5319390594257469,0.039811204596757646,167.68491759999597,155.40748759999406,323.09240519999,False
16,0.16814005560156878,0.005467374075755528,0.4813061110467045,0.01089128305582762,167.0905511000019,153.98268390000158,321.0732350000035,False
17,0.16644006349396961,0.008205422162392624,0.5258466003883477,0.02347867752755151,168.64209449999908,153.24086669999815,321.8829611999972,False
18,0.15930291851009765,0.004652883372796751,0.4188420098698947,0.008285235524110967,167.17910190000111,154.8310311000023,322.0101330000034,False
