epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.3076209792387237,0.012791416865563022,0.8609854452070219,0.0,189.20646199999828,366.26973449999787,555.4761964999961,True
2,0.2921265838426208,0.016226834512966352,0.8860069248056748,0.0,203.98479299999963,360.92922700000054,564.9140200000002,True
3,0.270439151410498,0.013740070458389346,0.8752783937035794,0.010982306284319707,203.41145090000282,361.3610289999997,564.7724799000025,False
4,0.2588203310241487,0.0353528496400649,0.8860310623285779,0.04969930784068989,201.17764010000246,362.409868499999,563.5875086000015,True
5,0.25977481837755145,0.03053971958666366,0.9000058187180778,0.018581081081081082,204.17710269999952,301.548702600001,505.7258053000005,False
6,0.24182240275521946,0.03560936834756077,0.9071943105975602,0.10221130221130222,146.88241209999978,281.6371687999999,428.5195808999997,True
7,0.23175956358133995,0.015267712729331898,0.8687919279163009,0.04009759202291291,146.62828109999828,276.0781356999978,422.7064167999961,False
8,0.23765469181440557,0.027985356729115802,0.904493582270923,0.07811003511759072,145.8857954999985,271.44686499999807,417.33266049999656,False
9,0.20986436267847486,0.022623369123838763,0.8845498041086142,0.039627717588889694,145.4230824999977,272.84542839999995,418.26851089999764,False
10,0.2062358209427019,0.027626991812114088,0.8904558831739469,0.08496319663512092,145.18741319999754,277.6404107999988,422.8278239999963,False
11,0.20748271529672094,0.03217698667674156,0.9176496010813368,0.03456694104176119,146.27332820000083,283.2578928999974,429.5312210999982,False
12,0.20207853065872838,0.012521020430038641,0.8668798462944395,0.02512536564981195,147.05263999999806,275.91208560000086,422.9647255999989,False
13,0.18021894942740246,0.035154656579578766,0.8950847656536388,0.1064778389719381,145.62776229999872,277.80676949999906,423.4345317999978,False
14,0.1874519189111672,0.038555816716628936,0.90858726149432,0.09483404042924881,165.46610869999859,283.9678798999994,449.433988599998,True
15,0.16980551199929786,0.01616793714884065,0.8838687925230346,0.023109380071405387,145.67534770000202,281.04377340000065,426.71912110000267,False
16,0.1528869085019213,0.05153095244627637,0.9205127956307535,0.051175761230027136,145.15476130000025,271.22370910000245,416.3784704000027,True
17,0.15555722097795535,0.04225836707355633,0.8989138849648477,0.07126330402591392,145.62365510000018,277.9933248999987,423.6169799999989,False
18,0.13509562856286536,0.05026034466995732,0.8902355007714543,0.06292508177145527,181.64038789999904,342.4622535999988,524.1026414999978,False
19,0.13943927993555544,0.03839166303933311,0.9150368093484459,0.025699911059192098,190.52249110000048,328.6502851000005,519.172776200001,False
20,0.13736476463465241,0.07178704380150583,0.9001612909453587,0.11864615384615385,204.8847265000004,364.4258101999985,569.3105366999989,True
21,0.13053311283718913,0.05658885820787458,0.899225192560837,0.04119415580990558,203.4709477000033,361.65479870000127,565.1257464000046,False
22,0.11300504673971523,0.05755123382659507,0.92232443775371,0.06703281227996057,206.2098100000003,362.14187200000015,568.3516820000004,False
23,0.11838812126654259,0.01956879434905412,0.8800004496016078,0.02253347945791345,205.21624180000072,363.0824889000032,568.298730700004,False
24,0.11010116537196851,0.058781159428580004,0.9147355146998251,0.07389107243121841,211.4904807999992,377.9696352000028,589.460116000002,False
25,0.10996757746241215,0.028944999945259214,0.8002024969825712,0.05736160904174516,212.76215310000043,376.37153209999815,589.1336851999986,False
26,0.10612998382693732,0.058208164280385104,0.885870208020136,0.06886288304133126,140.7544268999991,265.05185789999814,405.80628479999723,False
27,0.10896249449221684,0.04092955368472452,0.8867931303328525,0.03168009317674464,142.84041250000155,262.86508409999806,405.7054965999996,False
28,0.10957509386740433,0.03405852130830449,0.899553819292921,0.021816058394160585,142.10897209999894,259.75100329999987,401.8599753999988,False
