epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.3195358229613008,0.008564225007629002,0.7524309961886886,0.0,266.3030665999977,308.6958263999986,574.9988929999963,True
2,0.29287026900880375,0.1412665156042469,0.9389988221493538,0.0,214.78451780001342,279.192847600003,493.9773654000164,True
3,0.2906720562996564,0.022739831288536794,0.7786162968017447,0.06435643564356436,228.0586775999982,235.05451869999524,463.11319629999343,False
4,0.2819955628958698,0.1310433782258703,0.9487567199494591,0.2068095838587642,209.8391677000036,281.96836689999327,491.80753459999687,False
5,0.26685198762129303,0.1557442127937007,0.9425071602005382,0.2349696635410921,237.504763799996,282.99764909999794,520.5024128999939,True
6,0.24880600012497708,0.14883198934891662,0.945894136829572,0.2701798410706817,234.32174759999907,281.14845849999983,515.4702060999989,False
7,0.2446634605065919,0.20384379511348688,0.9537679233912342,0.3011889035667107,234.92394899998908,280.58639799999946,515.5103469999885,True
8,0.23014398171400516,0.16870701876456687,0.9439452370369826,0.20360551431601273,229.99081149999984,278.44790480000665,508.4387163000065,False
9,0.22495237243369468,0.1449709497872064,0.9450266567339554,0.20855614973262032,232.8314737000037,278.8764826999977,511.7079564000014,False
10,0.21440056164220353,0.056587241675385945,0.9221921640586097,0.06693676237449357,230.09962349999114,280.87223009999434,510.9718535999855,False
11,0.21876366164053468,0.18601101846643425,0.9445595946433807,0.1026654950205038,220.85424929999863,219.11715489999915,439.9714041999978,False
12,0.19869003868789628,0.11736076086655262,0.9395758890764472,0.1504424778761062,165.06103230000008,224.308408900004,389.3694412000041,False
13,0.1956127838230863,0.12315137885556403,0.939861124095385,0.14917387883556255,164.16491870000027,213.7104040999984,377.8753227999987,False
14,0.18564569834050715,0.18138291332171821,0.9380628774468432,0.1080779054916986,163.91548150000744,214.45922849999624,378.3747100000037,False
15,0.18057198324615847,0.0819372820484495,0.841256352327513,0.06835482367562529,163.79195150001033,216.28757439999026,380.0795259000006,False
