epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.31132313844169146,0.047448597818600446,0.8587362650289843,0.0,165.17535459999635,194.60433129999728,359.77968589999364,True
2,0.2839113875456002,0.018718578153782237,0.82090014997821,0.0,165.08199120000063,192.46554340000148,357.5475346000021,False
3,0.27883021243383116,0.015549207035733162,0.7858606206675202,0.03616200578592092,164.00193549999676,195.54559080000035,359.5475262999971,False
4,0.2655309192729263,0.019726295842258268,0.8619073787777876,0.04607686809259361,164.89681949999795,183.7179449000032,348.61476440000115,False
5,0.24217464075215783,0.020389020960013465,0.8668995961131208,0.04219253118176098,164.70097960000567,189.3454036999974,354.0463833000031,False
6,0.2390433603425275,0.013145420992478084,0.8390925481162509,0.02799750208159867,165.91515300000174,188.72658539999975,354.6417384000015,False
7,0.2236964046075671,0.03779153320069667,0.8603899549686332,0.12705323570156343,163.56431870000233,188.93959310000355,352.5039118000059,False
8,0.21518009869547577,0.014961811716386232,0.8419433390160602,0.03406029180011184,164.23672269999952,185.01080809999985,349.24753079999937,False
9,0.2102766242746208,0.014618147695937474,0.8327228037943522,0.0371238060911876,164.7700496999969,188.5988165000017,353.3688661999986,False
