epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.32130827668287004,0.016893100032068405,0.8360605566289345,0.0,212.68467129999772,256.2568035000004,468.9414747999981,True
2,0.29144288157487636,0.018579091871250675,0.827610307845264,0.0,193.11068839999643,265.506418799996,458.61710719999246,True
3,0.27048883721294853,0.010124392229831603,0.6813834770696395,0.0,211.00352030000067,205.6296971999982,416.63321749999886,False
4,0.26739966979765956,0.002804631439342833,0.36287677131347984,0.0026134030240806422,161.35150549999526,210.25905539999803,371.6105608999933,False
5,0.24409775468079917,0.00803382230767781,0.7088264446746602,0.018982229402261713,158.79885859999922,190.7909260000015,349.5897846000007,False
6,0.23610810597731324,0.008724972066103186,0.7785562179606769,0.01632088520055325,158.2864636000013,196.72156550000363,355.00802910000493,False
7,0.22290088156015836,0.016615846196575683,0.8548698356361041,0.03373015873015873,157.8393084000054,187.0838764,344.9231848000054,False
8,0.20397814644987208,0.004144902441956929,0.5514187146400915,0.0070099691949450605,159.6524814000004,189.12620280000556,348.77868420000596,False
9,0.2083721974305359,0.009654859416452503,0.7883203003614012,0.022726452869665598,159.7225124999968,198.10841169999912,357.83092419999593,False
10,0.17997260363836606,0.015994803792027182,0.8253397302641037,0.024380900259953483,159.0443749000042,190.57631129999936,349.62068620000355,False
