epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.30150740818614075,0.019140124868868492,0.42086892498843764,0.0,149.20160620000388,192.80095610000717,342.00256230001105,True
2,0.2818597281881756,0.0045177886123361185,0.4998531296598189,0.008950366151342554,158.01280470000347,203.79767929999798,361.81048400000145,False
3,0.262744204725039,0.01890855533611654,0.466243458814515,0.020077852898996107,156.14795280000544,189.49914240000362,345.64709520000906,False
4,0.2602382270573197,0.006854907525929996,0.4552355488534311,0.015901411250248458,154.92791159999615,175.57637229999818,330.50428389999433,False
5,0.25089024014774164,0.005335378257497367,0.44384950021361913,0.023622047244094488,153.69146999999066,173.27566689999367,326.9671368999843,False
6,0.2339512177936195,0.025398536882660847,0.6175914320801453,0.03012138468454968,154.8860102000035,175.38436569999612,330.27037589999964,True
7,0.2435480403899726,0.022047625425273165,0.5971093139885952,0.08084074373484236,153.60369810000702,174.93083400001342,328.53453210002044,False
8,0.22435922595307647,0.010227645601778518,0.5045881400062793,0.00972937617529229,154.6930973999988,181.19485889999487,335.8879562999937,False
9,0.2095430913639942,0.019539988121081257,0.517740068039743,0.008294645620550913,154.37748589999683,178.611859800003,332.98934569999983,False
10,0.2081230066652287,0.018287721384631472,0.5384115550698573,0.019114741844198837,154.17942990000302,178.5517574000114,332.7311873000144,False
11,0.19490383483397333,0.02144705411771812,0.5496564000346396,0.011104001981383253,154.003414900013,219.75505960000737,373.7584745000204,False
12,0.1807866135430427,0.01601122894136197,0.4947812989094825,0.016078093597473444,202.90437889999885,241.4644866000017,444.36886550000054,False
13,0.17802637298200671,0.024478697028758465,0.5904124057369506,0.023612750885478158,202.70350049999251,240.23359800000617,442.9370984999987,False
14,0.17726420271227167,0.01846268031246974,0.5089679675069305,0.009967751392553504,152.33243579999544,217.28602610000235,369.6184618999978,False
