epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.29163916082697017,0.023419091661345804,0.8840768298505991,0.0,155.89450039999792,258.51949080001214,414.41399120001006,True
2,0.25929672644767043,0.04075937509113044,0.8936869176776638,0.06998270776116366,154.73287239999627,262.10390510002617,416.83677750002244,True
3,0.25110737640383424,0.015104980839896913,0.8588061358149772,0.02202595136844401,153.88961890002247,259.29708499999833,413.1867039000208,False
4,0.24083920649826485,0.036820506785808775,0.8828509869146257,0.051930609960828204,155.06798439999693,256.8673757999786,411.93536019997555,False
5,0.22574681772811933,0.10712102445485018,0.902957250405581,0.06845114775834922,156.22268820001045,258.6299737999798,414.85266199999023,True
6,0.2178293122376051,0.021118988577501118,0.8732735104557596,0.050551470588235295,154.29539549999754,259.75305359999766,414.0484490999952,False
7,0.21351382039675598,0.07822010548301138,0.9027086522475714,0.13466212931453572,154.64514430001145,260.23460879997583,414.8797530999873,False
8,0.20473070699461074,0.046459120591456335,0.9105850784835505,0.11245283018867924,153.81578050000826,259.06775899999775,412.883539500006,False
9,0.19291193850095947,0.052440321775817964,0.9106524034614248,0.10984120562354607,155.58586520000244,261.1743256000045,416.76019080000697,False
10,0.18801336160555632,0.04471816603357323,0.8900322090714156,0.1476510067114094,155.03322969999863,261.8386902999773,416.87191999997594,False
11,0.17834040870764292,0.06701803259194819,0.901709923163676,0.1665704943258319,154.034393799986,258.9654698999948,412.9998636999808,False
12,0.17801683360837178,0.036007993664286204,0.9166585386170207,0.07810363166691991,155.00057269999525,258.0369805000082,413.03755320000346,False
13,0.1692512237484557,0.05441593020889914,0.926854105325919,0.08877944055060934,154.45212460000766,261.52017090001027,415.97229550001794,False
