epoch,training_loss,validation_average_precision,validation_roc_auc,validation_f1_at_0_5,training_seconds,validation_seconds,epoch_seconds,improved
1,0.3051529428747524,0.04317280949447955,0.8879202464508615,0.0,163.7428011000011,182.80170409999846,346.54450519999955,True
2,0.28186995209970134,0.024429783028116558,0.8607619101585107,0.0,166.09383650000382,188.43559780000214,354.52943430000596,False
3,0.2697665892011754,0.02751638192325724,0.8743684147029003,0.011811023622047244,164.49398640000436,191.5095220000003,356.00350840000465,False
4,0.2698545516572959,0.022108137338178523,0.8571757498464417,0.03992045013581684,164.6457489999957,189.6279671999946,354.2737161999903,False
5,0.25723993946222434,0.011488311229406417,0.80818168267545,0.021884288976004824,165.35111419999885,190.81597820000025,356.1670923999991,False
6,0.25203392738075797,0.013850573178992225,0.8423047052569443,0.02623116211614856,164.57561589999386,191.2797569999966,355.85537289999047,False
7,0.23548400158052438,0.010893494929777018,0.8076614498562202,0.026075214577286624,165.39631089999602,188.2239733000024,353.6202841999984,False
8,0.2248997329215489,0.004527887298568196,0.6115427955780078,0.004424025863535817,166.28216840000096,190.94002410000394,357.2221925000049,False
9,0.20481121836639896,0.009202868172827412,0.7731652172662906,0.014902620263461919,164.35243400000036,188.7931505000015,353.14558450000186,False
